opening,pattern,S1_size,best_g2,exp_remaining_after_g2,singleton_rate,max_bucket,entropy_bits,pool_size_evaluated,pool_rule
soare,00000,203,filth,7.857142857142857,0.1330049261083744,17,5.22936500555435,203,disjoint_from_soare
soare,00001,217,blind,9.940092165898617,0.0967741935483871,25,5.05488431474251,203,disjoint_from_soare
soare,00002,85,guilt,3.0941176470588236,0.2823529411764706,7,5.0988016371229055,203,disjoint_from_soare
soare,00010,60,glint,3.066666666666667,0.3,7,4.621300130445731,203,disjoint_from_soare
soare,00011,212,ditch,18.42452830188679,0.0660377358490566,42,4.286549428443044,203,disjoint_from_soare
soare,00012,40,cupid,3.5,0.375,7,3.942896608419108,203,disjoint_from_soare
soare,00020,13,bitch,1.1538461538461537,0.8461538461538461,2,3.546593564294939,203,disjoint_from_soare
soare,00021,17,flint,2.8823529411764706,0.5294117647058824,6,3.057476076289931,203,disjoint_from_soare
soare,00022,6,bitch,1.0,1.0,1,2.584962500721156,203,disjoint_from_soare
soare,00100,145,minty,6.724137931034483,0.09655172413793103,17,4.870074202188581,203,disjoint_from_soare
soare,00101,150,glint,20.053333333333335,0.06,43,3.65903025136402,203,disjoint_from_soare
soare,00102,41,guilt,3.6341463414634148,0.17073170731707318,8,3.836465956408321,203,disjoint_from_soare
soare,00110,45,lucid,3.6222222222222222,0.15555555555555556,8,3.9390908078646256,203,disjoint_from_soare
soare,00111,124,child,30.096774193548388,0.056451612903225805,55,2.7495602244182145,203,disjoint_from_soare
soare,00112,8,bunch,1.5,0.5,2,2.5,203,disjoint_from_soare
soare,00120,13,pitch,1.6153846153846154,0.6153846153846154,3,3.180832987205441,203,disjoint_from_soare
soare,00121,5,blunt,1.4,0.6,2,1.9219280948873623,203,disjoint_from_soare
soare,00122,3,biddy,1.0,1.0,1,1.584962500721156,203,disjoint_from_soare
soare,00200,43,clink,1.9767441860465116,0.37209302325581395,3,4.594301091659834,203,disjoint_from_soare
soare,00201,22,lynch,1.9090909090909092,0.36363636363636365,3,3.6635327548042547,203,disjoint_from_soare
soare,00202,29,clung,4.310344827586207,0.2413793103448276,7,3.1072603077769867,203,disjoint_from_soare
soare,00210,41,cling,2.951219512195122,0.17073170731707318,5,3.957940346441153,203,disjoint_from_soare
soare,00211,4,child,1.0,1.0,1,2.0,203,disjoint_from_soare
soare,00212,19,ditch,3.1052631578947367,0.3157894736842105,6,2.970840013101985,203,disjoint_from_soare
soare,00220,14,dutch,1.4285714285714286,0.5714285714285714,2,3.3787834934861753,203,disjoint_from_soare
soare,00221,9,nymph,1.4444444444444444,0.5555555555555556,2,2.725480556997868,203,disjoint_from_soare
soare,00222,4,bling,1.0,1.0,1,2.0,203,disjoint_from_soare
